model,hyper_params,fold,accuracy,precision,recall,f1,f2,mcc
LR,"{'C': 22.4188, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.5, 'max_iter': 150, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0,0.9655172413793103,0.9767641996557659,0.9759036144578314,0.9756923799092473,0.9756694404107586,0.9475142485638552
LR,"{'C': 0.8147, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.4, 'max_iter': 280, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 43, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1,0.990909090909091,0.9883672621520566,0.9879518072289156,0.9880022261910995,0.987933719658881,0.9736335976357539
LR,"{'C': 0.0375, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 340, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 44, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2,0.9543650793650793,0.9531894934333958,0.9512195121951219,0.9516003618071315,0.9512233576193234,0.8946404657076288
LR,"{'C': 0.1713, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.3, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 45, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",3,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 0.6763, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 850, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 46, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",4,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LR,"{'C': 0.0165, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.9, 'max_iter': 720, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 47, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",5,0.973499361430396,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9469987228607918
LR,"{'C': 26.9538, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.4, 'max_iter': 980, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 48, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",6,0.9730519480519481,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9461038961038961
LR,"{'C': 0.0327, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 49, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",7,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LR,"{'C': 0.7184, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.5, 'max_iter': 790, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 50, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",8,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LR,"{'C': 0.0494, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.6, 'max_iter': 730, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 51, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",9,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 0.1795, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 210, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 52, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",10,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 0.8113, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.6, 'max_iter': 770, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 53, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",11,0.9821428571428572,0.9881669535283992,0.9879518072289156,0.9878965493423325,0.9878911956867192,0.9731733281027651
LR,"{'C': 0.1819, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.3, 'max_iter': 710, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",12,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 0.4525, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 140, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 55, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",13,0.9279100529100529,0.938786236347212,0.9390243902439024,0.9387497711507556,0.9388777341010819,0.8635652420207802
LR,"{'C': 0.0393, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 560, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 56, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",14,0.9642857142857143,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
LR,"{'C': 0.0408, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 150, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 57, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",15,0.9562579821200511,0.9638632451885464,0.963855421686747,0.9637041648001956,0.9637581692081981,0.9201867797761193
LR,"{'C': 0.0384, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.4, 'max_iter': 580, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 58, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",16,1.0,1.0,1.0,1.0,1.0,1.0
